uncchdid,female,sea83,sea86,sea91,seatotal,sea05,SEAsum_83_05
20007,1,0.5368098616600037,0.5719345808029175,-0.282681941986084,0.8260625004768372,-0.0762777328491211,0.46053212881088257
20010,1,-0.5778565406799316,-0.5581552982330322,-0.502093493938446,-1.6381053924560547,-0.2973223924636841,-0.8751789331436157
20036,1,-0.46300384402275085,-0.48369261622428894,-0.5029606819152832,-1.4496572017669678,1.0201791524887085,0.5571753084659576
20037,1,-0.1082344800233841,0.3354845345020294,0.26122018694877625,0.48847025632858276,0.6331312656402588,0.5248967856168747
20040,1,0.6476506590843201,0.5394542813301086,0.6179012060165405,1.8050061464309692,1.8130384683609009,2.460689127445221
20042,1,-0.7009364366531372,-0.7501986622810364,-0.43000566959381104,-1.8811407089233398,-0.8076508641242981,-1.5085873007774353
20043,1,-0.2347439080476761,-0.12480269372463226,-0.5013411641120911,-0.8608877658843994,0.22297275066375732,-0.011771157383918762
20047,1,-0.3541235625743866,-0.4879172146320343,-0.09622582793235779,-0.9382666349411011,0.31962984800338745,-0.034493714570999146
20068,1,-0.46407613158226013,-0.5973923206329346,-0.6571711301803589,-1.718639612197876,-0.8423008918762207,-1.3063770234584808
20070,1,-0.1983216106891632,-0.14402338862419128,0.2324952781200409,-0.1098497211933136,-0.9458189010620117,-1.144140511751175
20071,1,0.11537238210439682,0.09138251096010208,0.45241066813468933,0.6591655611991882,-0.7355115413665771,-0.6201391592621803
20072,0,-0.04169230908155441,-0.017841972410678864,-0.0665523111820221,-0.12608659267425537,0.2963557541370392,0.25466344505548477
20073,1,0.19500884413719177,0.1584225296974182,-0.08578459918498993,0.26764678955078125,0.03888827562332153,0.2338971197605133
20083,1,0.15197309851646423,-0.13869266211986542,-0.259634792804718,-0.2463543564081192,0.81697016954422,0.9689432680606842
20105,1,1.1384303569793701,1.7400293350219727,1.8346866369247437,4.713146209716797,0.16988825798034668,1.3083186149597168
20107,1,-0.5184448957443237,-0.47232988476753235,-0.4843624234199524,-1.4751372337341309,-0.17865414917469025,-0.697099044919014
20109,1,-0.17384028434753418,-0.3068879246711731,-0.3834533095359802,-0.8641815185546875,0.22885210812091827,0.055011823773384094
20110,1,-0.058036208152770996,-0.1918192207813263,-0.10066929459571838,-0.3505247235298157,-0.27403929829597473,-0.3320755064487457
20115,1,0.035258948802948,-0.25478503108024597,-0.3030417263507843,-0.5225678086280823,0.15597866475582123,0.19123761355876923
20133,0,-0.14248275756835938,-0.13030248880386353,0.05025036633014679,-0.2225348800420761,0.008490164764225483,-0.1339925928041339
20138,1,-0.40861010551452637,-0.37629440426826477,-0.6156415939331055,-1.4005460739135742,-0.4241567552089691,-0.8327668607234955
20144,1,1.2982254028320312,0.5046755075454712,0.6538750529289246,2.4567759037017822,0.22280625998973846,1.5210316628217697
20156,1,-0.4766213893890381,-0.37028348445892334,-0.06482452154159546,-0.9117293953895569,-0.3316470682621002,-0.8082684576511383
20162,1,1.164932370185852,0,2.0695509910583496,3.234483242034912,0.8080232739448547,1.9729556441307068
20163,0,1.0305852890014648,1.405677318572998,1.1278265714645386,3.564089298248291,0.4985206127166748,1.5291059017181396
20173,1,0.3563638925552368,0.8040034174919128,0.854859471321106,2.0152268409729004,1.2754579782485962,1.631821870803833
20181,0,0.8853585720062256,1.823033332824707,1.3707799911499023,4.079172134399414,-0.020261406898498535,0.865097165107727
20208,1,0.5844147801399231,0.3206643760204315,0.1616528034210205,1.0667319297790527,-0.7324367165565491,-0.14802193641662598
20218,0,0.8100590109825134,0.6827770471572876,0.37627387046813965,1.869109869003296,-0.09125735610723495,0.7188016548752785
20226,1,-0.12673768401145935,-0.31712502241134644,-0.4995388984680176,-0.943401575088501,-0.8656764030456543,-0.9924140870571136
20229,1,-0.49628767371177673,0.25705474615097046,-0.6020262241363525,-0.8412591218948364,-0.8260124325752258,-1.3223001062870026
20230,0,0.7445614337921143,0.4197812080383301,-0.5354686975479126,0.6288739442825317,0.1847081184387207,0.929269552230835
20232,1,0.9381579160690308,0.8500375747680664,0.34777528047561646,2.1359708309173584,0.804099977016449,1.7422578930854797
20245,0,-0.9644596576690674,-0.9496583342552185,-0.4092174470424652,-2.3233354091644287,-0.9909045696258545,-1.9553642272949219
20265,1,0.24588249623775482,0.17487940192222595,0.1919366866350174,0.6126985549926758,0.5031285285949707,0.7490110248327255
20275,1,0.12153905630111694,0.029627948999404907,-0.0952395498752594,0.05592745542526245,-0.49362674355506897,-0.372087687253952
20283,1,-0.57823646068573,-0.4966886043548584,-0.6734103560447693,-1.748335361480713,-0.1536000519990921,-0.7318365126848221
20291,1,1.2652976512908936,1.8082249164581299,1.5256431102752686,4.599165916442871,1.9000362157821655,3.165333867073059
20295,1,0.6046370267868042,0.6399566531181335,0.4052477478981018,1.6498414278030396,0.5676963329315186,1.1723333597183228
20313,1,1.3238292932510376,1.2134162187576294,0.9677690267562866,3.505014419555664,0.20024095475673676,1.5240702480077744
20316,1,0.36754369735717773,0.17233556509017944,0.3253740668296814,0.8652533292770386,1.13904869556427,1.5065923929214478
20319,1,0.3882025480270386,0.3888823688030243,0.12598314881324768,0.9030680656433105,0.025870660319924355,0.41407320834696293
20326,1,-0.05031513422727585,-0.30252039432525635,-0.46449506282806396,-0.8173305988311768,-0.015563865192234516,-0.06587899941951036
20328,1,-0.22829076647758484,-0.27063512802124023,0.16069039702415466,-0.3382354974746704,-0.1840055137872696,-0.41229628026485443
20331,1,0.2509373426437378,0.828159511089325,0.7431719303131104,1.8222687244415283,-0.4598259925842285,-0.20888864994049072
