uncchdid_w_DNAm
20867
20373
21987
20685
20827
22421
20982
22134
21077
23104
21100
20560
22405
22128
21090
22880
22417
20083
21798
23237
22649
20331
20398
22224
23000
22549
21308
21558
22218
20319
21321
20953
22350
21319
21032
20752
23300
20897
20838
23189
20295
22228
20534
22759
20429
23157
22447
20908
21024
20115
21841
23286
20173
21548
21431
20162
21332
21593
22070
23172
22018
20291
22513
23163
20633
22554
23195
23143
21347
23266
20956
23285
21399
21797
21298
21792
20245
20526
20109
22601
23269
22430
22057
23106
22895
23193
20445
22240
22170
23065
22290
20338
22890
21404
20133
22318
20430
20068
22446
20071
20913
21172
22156
22773
20426
20902
22073
22075
22630
20428
23069
20631
22545
20072
23072
22820
22096
20725
21114
20934
20036
22544
22924
21124
20555
22241
23006
21385
22242
20803
22319
21116
23240
21019
22727
20265
21183
22830
23167
22212
22509
22737
20557
20496
22863
21866
20105
21397
20138
22746
20552
21522
21004
23181
21858
20144
22113
21107
20432
22873
20275
21931
22980
22097
22645
22040
21453
21652
22133
23279
23249
23018
20883
21141
22548
20218
21519
20510
22253
21115
22084
23161
22473
20042
22659
20609
21997
22404
22724
22093
23233
22800
20313
23267
23084
20499
21886
21071
20421
23098
22658
20782
21304
22196
22491
21783
22503
22818
22624
21991
20933
20592
20361
20110
23094
22285
22539
20801
23024
21840
20665
22376
22276
21016
20923
23302
20890
22814
22618
20395
21585
23211
20882
22859
20386
20040
20232
21368
23216
23272
20401
21725
21106
22394
20817
21960
21371
21566
20229
21543
22468
21986
21361
22435
21255
21646
21946
20389
21588
22183
21839
21540
23150
21155
23074
20863
21711
23149
22007
22779
23192
20997
22663
21238
21171
22764
20718
23105
20437
21429
22693
22429
21634
22465
22519
22857
23263
20440
23283_R2
22251
22125
22684
20828
20226
22734
20724
23089
21769
20283
20316
21202
23042
22664
20661
22871
20336
21907
20930
21533
21705
21681
20794
21677
21863
22209
20208
20010
23254
20799
20704
22826
20107
21446
20649
20690
20047
22334
22528
21628
20566
23253
20352
21224
43310
22954
20858
21060
20756
22532
21702
20341
20420
22080
22462
20385
23291
22760
22195
20855
23247
22572
21230
21452
22578
21772
21444
21179
21123
20616
20562
21760
22590
20043
21700
21561
20181
22716
21050
22929
22990
23198
20438
21316
23121
22728
20615
21138
22119
21218
20703
20790
21862
21602
21083
20679
22472
20230
20589
20531
22875
20419
21516
22953
21281
22303
22012
23026
21089
21941
22035
20999
20393
22074
22495
22399
20483
20764
21896
21788
22749
22216
21517
21750
21911
21074
22900
20156
20853
22166
20637
21613
22390
23293
21973
22500
22877
23250
23268
21170
21749
22872
20973
21169
22370
20007
23054
22829
22961
22512
23306
22608
20396
20865
20326
20073
20037
21188
21922
22678
21701
20784
22469
22614
20917
20727_R1
20328
23277
22553
20476
22426
22694
21166
20927
20070
20722
21644
23323
21537
23206
22679
21727
22182
22785
22996
20664
20757
20683
21109
21667
21134
21282
20493
23217
21883
21511
20788
22696
23228
20822
20163
23235
23020
21935
21375
23231
22200
